"date","user","type","executed","runTime","remarks"
"2016-07-25 11:50","POAS31-RT33","function","LoadAirHour",16.4798448085785,"Loaded2010-2016"
"2016-07-25 12:03","POAS31-RT33","function","MultiFileBind",17.1754529476166,"Merged Year2010-2016"
"2016-07-25 12:03","POAS31-RT33","function","LoadAirHour",17.1910529136658,"Loaded2010-2016"
"2016-07-25 13:58","POAS31-RT33","function","MultiFileBind",18.8940808773041,"Merged Year2010-2016"
"2016-07-25 13:58","POAS31-RT33","function","LoadAirHour",18.940083026886,"Loaded2010-2016"
"2016-07-25 14:24","POAS31-RT33","function","MultiFileBind",16.1659250259399,"Merged Year2010-2016"
"2016-07-25 14:24","POAS31-RT33","function","LoadAirHour",16.1749250888824,"Loaded2010-2016"
"2016-07-25 21:59","PONG-PC","function","MultiFileBind",13.8452520370483,"Merged Year2012-2016"
"2016-07-25 21:59","PONG-PC","function","LoadAirHour",13.8612489700317,"Loaded2012-2016"
"2016-07-25 21:59","PONG-PC","function","LoadAQHI",0.897603988647461,"Loaded2013-2020"
"2016-07-25 21:59","PONG-PC","source","default.R",39.8411910533905,NA
"2016-07-26 16:55","POAS31-RT33","function","MultiFileBind",2.69615387916565,"Merged Year2014-2014"
"2016-07-26 16:55","POAS31-RT33","function","LoadAirHour",2.73315620422363,"Loaded2014-2014"
"2016-07-26 16:56","POAS31-RT33","function","MultiFileBind",8.5414891242981,"Merged Year2013-2015"
"2016-07-26 16:56","POAS31-RT33","function","LoadAirHour",8.55948996543884,"Loaded2013-2015"
"2016-07-26 16:57","POAS31-RT33","function","MultiFileBind",2.41613793373108,"Merged Year2014-2014"
"2016-07-26 16:57","POAS31-RT33","function","LoadAirHour",2.42613792419434,"Loaded2014-2014"
"2016-07-26 17:01","POAS31-RT33","function","MultiFileBind",7.41342401504517,"Merged Year2013-2015"
"2016-07-26 17:01","POAS31-RT33","function","LoadAirHour",7.42242503166199,"Loaded2013-2015"
"2016-07-26 17:01","POAS31-RT33","function","MultiFileBind",7.29641699790955,"Merged Year2013-2015"
"2016-07-26 17:01","POAS31-RT33","function","LoadAirHour",7.31441783905029,"Loaded2013-2015"
"2016-07-26 17:03","POAS31-RT33","function","MultiFileBind",7.52143096923828,"Merged Year2013-2015"
"2016-07-26 17:03","POAS31-RT33","function","LoadAirHour",7.53743195533752,"Loaded2013-2015"
"2016-07-26 17:03","POAS31-RT33","function","MultiFileBind",7.45042586326599,"Merged Year2013-2015"
"2016-07-26 17:03","POAS31-RT33","function","LoadAirHour",7.46242690086365,"Loaded2013-2015"
"2016-07-26 17:04","POAS31-RT33","function","MultiFileBind",7.56543278694153,"Merged Year2013-2015"
"2016-07-26 17:04","POAS31-RT33","function","LoadAirHour",7.57943391799927,"Loaded2013-2015"
"2016-07-27 14:24","POAS31-RT33","function","MultiFileBind",5.45031213760376,"Merged Year2015-2016"
"2016-07-27 14:24","POAS31-RT33","function","LoadAirHour",5.49531412124634,"Loaded2015-2016"
"2016-07-27 14:24","POAS31-RT33","function","LoadAQHI",1.13106393814087,"Loaded2013-2020"
"2016-07-27 14:24","POAS31-RT33","source","default.R",17.0289740562439,NA
"2016-07-27 15:09","POAS31-RT33","function","MultiFileBind",7.30141806602478,"Merged Year2014-2016"
"2016-07-27 15:09","POAS31-RT33","function","LoadAirHour",7.31341910362244,"Loaded2014-2016"
"2016-07-27 15:09","POAS31-RT33","function","LoadAQHI",1.00405693054199,"Loaded2013-2020"
"2016-07-27 15:09","POAS31-RT33","source","default.R",19.4601130485535,NA
"2016-07-27 15:10","POAS31-RT33","function","MultiFileBind",6.68638300895691,"Merged Year2014-2016"
"2016-07-27 15:10","POAS31-RT33","function","LoadAirHour",6.6973831653595,"Loaded2014-2016"
"2016-07-27 15:10","POAS31-RT33","function","LoadAQHI",1.0430600643158,"Loaded2013-2020"
"2016-07-27 15:10","POAS31-RT33","source","default.R",18.6340651512146,NA
"2016-07-27 16:03","POAS31-RT33","function","MultiFileBind",28.8756520748138,"Merged Year2010-2016"
"2016-07-27 16:03","POAS31-RT33","function","LoadAirHour",29.3316781520844,"Loaded2010-2016"
"2016-07-27 16:03","POAS31-RT33","function","LoadAQHI",3.1121780872345,"Loaded2013-2020"
"2016-07-27 16:03","POAS31-RT33","source","default.R",58.7613608837128,NA
"2016-07-28 16:55","POAS31-RT33","function","LoadAQHI",1.44108295440674,"Loaded2013-2020"
"2016-07-28 16:55","POAS31-RT33","source","default.R",8.34547710418701,NA
"2016-07-28 17:06","POAS31-RT33","function","LoadAQHI",1.12206411361694,"Loaded2013-2020"
"2016-07-28 17:06","POAS31-RT33","source","default.R",4.41325211524963,NA
"2016-07-28 17:06","POAS31-RT33","function","LoadAQHI",1.03205919265747,"Loaded2013-2020"
"2016-07-28 17:06","POAS31-RT33","source","default.R",4.07723379135132,NA
"2016-07-28 17:12","POAS31-RT33","function","LoadAQHI",1.07206106185913,"Loaded2013-2020"
"2016-07-28 17:16","POAS31-RT33","function","LoadAQHI",1.05306005477905,"Loaded2013-2020"
"2016-07-28 17:16","POAS31-RT33","function","LoadAQHI",1.03505897521973,"Loaded2013-2020"
"2016-07-28 17:19","POAS31-RT33","function","LoadAQHI",1.04905986785889,"Loaded2013-2020"
"2016-07-28 17:20","POAS31-RT33","function","LoadAQHI",1.28507399559021,"Loaded2013-2020"
"2016-07-28 17:20","POAS31-RT33","source","default.R",9.70355486869812,NA
"2016-07-28 17:21","POAS31-RT33","function","LoadAQHI",1.29007315635681,"Loaded2013-2020"
"2016-07-28 17:21","POAS31-RT33","source","default.R",7.16640996932983,NA
"2016-07-28 17:23","POAS31-RT33","function","LoadAQHI",1.29707407951355,"Loaded2013-2020"
"2016-07-28 17:23","POAS31-RT33","source","default.R",6.53637409210205,NA
"2016-07-28 17:28","POAS31-RT33","function","LoadAQHI",1.19406890869141,"Loaded2013-2020"
"2016-07-28 17:28","POAS31-RT33","source","default.R",4.42825293540955,NA
"2016-07-28 17:29","POAS31-RT33","function","LoadAQHI",1.0280590057373,"Loaded2013-2020"
"2016-07-28 17:29","POAS31-RT33","source","default.R",4.17123818397522,NA
