"date","no2Max","no2Avg"
2015-06-27,47,12.0416666666667
2015-06-28,89,17.4166666666667
2015-06-29,90,7.875
2015-06-30,78,14.6666666666667
2015-07-01,206,20.4782608695652
2015-07-02,93,3.41666666666667
2015-07-03,54,16
2015-07-04,77,27.5
2015-07-05,65,11.4166666666667
2015-07-06,104,3.1304347826087
2015-07-07,71,-0.375
2015-07-08,62,0.0416666666666667
2015-07-09,67,3.26086956521739
2015-07-10,69,14.2173913043478
2015-07-11,164,32.4583333333333
2015-07-12,174,29.7916666666667
2015-07-13,73,11.5
2015-07-14,68,22.0416666666667
2015-07-15,58,2.47826086956522
2015-07-16,47,1.8
2015-07-17,37,8.58333333333333
2015-07-18,30,-1
2015-07-19,34,17.4583333333333
2015-07-20,103,-0.285714285714286
2015-07-21,106,39.125
2015-07-22,42,3.75
2015-07-23,38,-5.52173913043478
2015-07-24,25,-1.91666666666667
2015-07-25,39,-0.75
2015-07-26,46,9.83333333333333
2015-07-27,73,14.5
2015-07-28,63,16.4166666666667
2015-07-29,59,18.6086956521739
2015-07-30,45,15.6086956521739
2015-07-31,56,9.16666666666667
2015-08-01,39,1.58333333333333
2015-08-02,36,0.291666666666667
2015-08-03,60,16.125
2015-08-04,63,3.66666666666667
2015-08-05,66,17.8333333333333
2015-08-06,83,28.6086956521739
2015-08-07,130,23
2015-08-08,149,33.2083333333333
2015-08-09,161,36.125
2015-08-10,76,13.5833333333333
2015-08-11,107,29.5
2015-08-12,75,17.5789473684211
2015-08-13,62,4.16666666666667
2015-08-14,104,14.8421052631579
2015-08-15,69,14.3333333333333
2015-08-16,62,20.4583333333333
2015-08-17,51,10
2015-08-18,51,16.0625
2015-08-19,71,10.45
2015-08-20,64,8.34782608695652
2015-08-21,69,-1.375
2015-08-22,75,19.2916666666667
2015-08-23,185,35.25
2015-08-24,162,-1.875
2015-08-25,79,-6.54166666666667
2015-08-26,131,15.3913043478261
2015-08-27,91,26.1739130434783
2015-08-28,86,20.1666666666667
2015-08-29,60,17.7083333333333
2015-08-30,100,42.9166666666667
2015-08-31,84,21.1666666666667
2015-09-01,91,5.20833333333333
2015-09-02,14,-6.125
2015-09-03,43,16.1739130434783
2015-09-04,113,36.6666666666667
2015-09-05,122,32.7083333333333
2015-09-06,133,47.5416666666667
2015-09-07,36,-0.416666666666667
2015-09-08,82,17.8333333333333
2015-09-09,121,36.9130434782609
2015-09-10,45,14.1111111111111
2015-09-11,41,7.75
2015-09-12,117,28.9583333333333
2015-09-13,109,64.25
2015-09-14,73,27.9565217391304
2015-09-15,55,26.2083333333333
2015-09-16,51,21.9166666666667
2015-09-17,43,12.9565217391304
2015-09-18,134,22.7916666666667
2015-09-19,218,59.0416666666667
2015-09-20,143,54
2015-09-21,81,18.0833333333333
2015-09-22,52,7.625
2015-09-23,131,25.0909090909091
2015-09-24,91,10.5
2015-09-25,68,17.9583333333333
