"date","date2","max.hour","max2.hour","max3.hour","max.NO2","max2.NO2","max3.NO2","max.NOx","max2.NOx","max3.NOx","max.CO","max2.CO","max3.CO","meanNO2","aqhi_daymax","ws_SF","ws_KP","wd_wgl","UV_Max"
2015-02-21,2015-02-21,18,21,15,143,142,128,678,651,613,1410,1190,1240,498.333333333333,8,11,5.8,30,4
2015-02-22,2015-02-22,11,10,19,99,78,77,462,461,296,810,760,700,445,7,8.5,5.4,40,4
2015-02-23,2015-02-23,6,22,2,29,20,18,64,40,70,-130,-40,220,-45.8333333333333,4,17.6,12.5,40,7
2015-02-24,2015-02-24,0,13,11,27,21,20,84,114,110,170,190,130,-15.8333333333333,4,15.2,11.5,40,4
2015-02-25,2015-02-25,8,2,4,70,23,21,328,102,56,320,310,710,26,5,13.2,9.5,30,6
2015-02-26,2015-02-26,18,16,19,51,45,32,158,99,114,110,-350,80,-136.666666666667,5,10.3,6.5,40,7
2015-02-27,2015-02-27,23,21,6,20,10,3,52,40,11,-60,-50,-140,-147.5,4,20.3,12.9,90,2
2015-02-28,2015-02-28,13,23,15,61,54,39,133,230,130,-130,330,50,-14.5833333333333,5,21.8,12.2,50,5
2015-03-01,2015-03-01,17,16,22,95,94,66,375,350,237,630,700,850,379.583333333333,8,8.4,5,20,4
2015-03-02,2015-03-02,0,1,9,58,30,26,169,74,73,420,630,-60,-46.6666666666667,6,18.4,10.2,70,3
2015-03-03,2015-03-03,19,18,22,130,123,104,577,611,459,910,670,1100,518.695652173913,9,15.9,8.9,40,5
2015-03-04,2015-03-04,13,21,0,63,38,29,186,99,105,80,130,400,171.818181818182,6,23,12.3,60,2
2015-03-05,2015-03-05,12,1,2,22,12,11,50,36,23,140,210,50,13.9130434782609,4,27,18.3,70,2
2015-03-06,2015-03-06,16,13,17,38,28,27,128,116,94,50,160,170,104.761904761905,5,22.9,12.6,50,2
2015-03-07,2015-03-07,15,14,11,68,61,56,251,221,199,50,90,230,138.75,6,19.6,9.9,50,3
2015-03-08,2015-03-08,18,22,20,56,54,47,133,200,144,250,530,420,271.739130434783,5,20,12,40,7
2015-03-09,2015-03-09,14,7,12,34,21,18,174,176,144,250,630,320,306.25,7,7.7,3.8,30,6
2015-03-10,2015-03-10,21,22,10,47,39,30,96,85,109,420,100,360,126.25,6,27.8,13.8,80,7
2015-03-11,2015-03-11,13,22,12,59,52,40,196,150,157,450,NA,580,256.666666666667,6,20.4,9.2,60,5
2015-03-12,2015-03-12,20,21,22,27,16,15,125,48,46,250,150,140,264.583333333333,4,9.1,5.8,30,2
2015-03-13,2015-03-13,21,9,7,26,25,20,97,122,77,210,200,210,142.083333333333,5,24.6,14.8,50,4
2015-03-14,2015-03-14,23,7,13,77,56,56,289,199,201,770,450,150,319.545454545455,6,15.6,11.7,40,2
2015-03-15,2015-03-15,22,8,14,114,87,50,456,385,153,1260,720,210,460.416666666667,5,12,7.1,40,4
2015-03-16,2015-03-16,7,10,6,114,72,56,606,367,296,990,700,780,460.869565217391,5,11.9,8.3,40,5
