"year","day","type","site","variable","value"
2015,31,"wd","tun","X1",20
2016,1,"wd","tun","X1",20
2016,2,"wd","tun","X1",350
2016,3,"wd","tun","X1",10
2016,4,"wd","tun","X1",160
2016,5,"wd","tun","X1",150
2016,6,"wd","tun","X1",20
2016,7,"wd","tun","X1",20
2016,8,"wd","tun","X1",20
2016,9,"wd","tun","X1",10
2016,10,"wd","tun","X1",150
2016,11,"wd","tun","X1",10
2016,12,"wd","tun","X1",20
2016,13,"wd","tun","X1",20
2016,14,"wd","tun","X1",10
2016,15,"wd","tun","X1",20
2016,16,"wd","tun","X1",140
2016,17,"wd","tun","X1",10
2016,18,"wd","tun","X1",20
2016,19,"wd","tun","X1",20
2016,20,"wd","tun","X1",150
2016,21,"wd","tun","X1",20
2016,22,"wd","tun","X1",20
2016,23,"wd","tun","X1",360
2016,24,"wd","tun","X1",\N
2016,25,"wd","tun","X1",20
2016,26,"wd","tun","X1",20
2016,27,"wd","tun","X1",20
2016,28,"wd","tun","X1",20
2016,29,"wd","tun","X1",270
2016,30,"wd","tun","X1",160
2016,31,"wd","tun","X1",150
2014,1,"ws","tap","X1",4.4
2014,2,"ws","tap","X1",3.8
2014,3,"ws","tap","X1",4
2014,4,"ws","tap","X1",11.5
2014,5,"ws","tap","X1",9.6
2014,6,"ws","tap","X1",12.5
2014,7,"ws","tap","X1",10.2
2014,8,"ws","tap","X1",7.9
2014,9,"ws","tap","X1",11.9
2014,10,"ws","tap","X1",10.4
2014,11,"ws","tap","X1",8.6
2014,12,"ws","tap","X1",9.9
2014,13,"ws","tap","X1",15
2014,14,"ws","tap","X1",14
2014,15,"ws","tap","X1",12.3
2014,16,"ws","tap","X1",9.1
2014,17,"ws","tap","X1",4.8
2014,18,"ws","tap","X1",9.7
2014,19,"ws","tap","X1",7.3
2014,20,"ws","tap","X1",9.1
2014,21,"ws","tap","X1",13.1
2014,22,"ws","tap","X1",9
2014,23,"ws","tap","X1",8.6
2014,24,"ws","tap","X1",5.8
2014,25,"ws","tap","X1",5.5
2014,26,"ws","tap","X1",10.4
2014,27,"ws","tap","X1",11.3
2014,28,"ws","tap","X1",5.2
2014,29,"ws","tap","X1",6.2
2014,30,"ws","tap","X1",3.7
2014,31,"ws","tap","X1",5.3
2015,1,"ws","tap","X1",8.1
2015,2,"ws","tap","X1",9.9
2015,3,"ws","tap","X1",9.3
2015,4,"ws","tap","X1",5.6
2015,5,"ws","tap","X1",7.1
2015,6,"ws","tap","X1",3.9
2015,7,"ws","tap","X1",8.6
2015,8,"ws","tap","X1",9.1
2015,9,"ws","tap","X1",6.8
2015,10,"ws","tap","X1",6.5
2015,11,"ws","tap","X1",7.5
2015,12,"ws","tap","X1",13.8
2015,13,"ws","tap","X1",11.3
2015,14,"ws","tap","X1",15
2015,15,"ws","tap","X1",8.3
2015,16,"ws","tap","X1",6
2015,17,"ws","tap","X1",11.1
2015,18,"ws","tap","X1",9
2015,19,"ws","tap","X1",10.5
2015,20,"ws","tap","X1",7.4
2015,21,"ws","tap","X1",3.1
2015,22,"ws","tap","X1",7.5
2015,23,"ws","tap","X1",8.2
2015,24,"ws","tap","X1",9.5
2015,25,"ws","tap","X1",3.6
2015,26,"ws","tap","X1",5.5
2015,27,"ws","tap","X1",9.4
2015,28,"ws","tap","X1",14.5
2015,29,"ws","tap","X1",10.3
2015,30,"ws","tap","X1",7.5
2015,31,"ws","tap","X1",6.1
2016,1,"ws","tap","X1",7.5
2016,2,"ws","tap","X1",4.7
2016,3,"ws","tap","X1",3.4
2016,4,"ws","tap","X1",5.1
2016,5,"ws","tap","X1",4.1
2016,6,"ws","tap","X1",8.9
2016,7,"ws","tap","X1",10.5
2016,8,"ws","tap","X1",6.5
2016,9,"ws","tap","X1",11.2
2016,10,"ws","tap","X1",12.7
2016,11,"ws","tap","X1",8.5
2016,12,"ws","tap","X1",11.8
2016,13,"ws","tap","X1",10.4
2016,14,"ws","tap","X1",7.3
2016,15,"ws","tap","X1",7.2
2016,16,"ws","tap","X1",12.6
2016,17,"ws","tap","X1",8.9
2016,18,"ws","tap","X1",7.8
2016,19,"ws","tap","X1",9.7
2016,20,"ws","tap","X1",16.2
2016,21,"ws","tap","X1",9.5
2016,22,"ws","tap","X1",13
2016,23,"ws","tap","X1",22.3
2016,24,"ws","tap","X1",22.9
2016,25,"ws","tap","X1",12.8
2016,26,"ws","tap","X1",9.7
2016,27,"ws","tap","X1",7.5
2016,28,"ws","tap","X1",7.3
2016,29,"ws","tap","X1",5.9
2016,30,"ws","tap","X1",7.9
2016,31,"ws","tap","X1",16.5
2014,1,"wd","tap","X1",260
2014,2,"wd","tap","X1",270
2014,3,"wd","tap","X1",300
2014,4,"wd","tap","X1",350
2014,5,"wd","tap","X1",130
2014,6,"wd","tap","X1",130
2014,7,"wd","tap","X1",130
2014,8,"wd","tap","X1",350
2014,9,"wd","tap","X1",350
2014,10,"wd","tap","X1",120
2014,11,"wd","tap","X1",130
2014,12,"wd","tap","X1",350
2014,13,"wd","tap","X1",350
2014,14,"wd","tap","X1",350
2014,15,"wd","tap","X1",360
2014,16,"wd","tap","X1",130
2014,17,"wd","tap","X1",310
2014,18,"wd","tap","X1",350
