"site","date","o3_ug","no2_ug","nox_ug","so2_ug","rsp","fsp","co_ug"
"CB_HK",2014-01-01,20.3375174337517,156.125845737483,335.497970230041,11.6456582633053,86.5733882030178,60.0754458161866,1241.42857142857
"CB_HK",2014-02-01,15.2725856697819,106.829721362229,270.212074303406,5.20588235294118,50.7996965098634,35.5477996965099,939.547581903276
"CB_HK",2014-03-01,17.9553072625698,118.857534246575,311.616438356164,10.2216142270862,68.9288762446657,47.4779516358464,1150.41493775934
"CB_HK",2014-04-01,27.2365439093484,110.479548660085,236.345557122708,7.19219653179191,62.0182584269663,43.314606741573,754.809052333805
"CB_HK",2014-05-01,13.60529986053,93.180055401662,247.047091412742,3.8875,39.8986384266263,27.3086232980333,557.370629370629
"CB_HK",2014-06-01,13.1505847953216,103.879382889201,272.722300140252,5.4656381486676,45.7008670520231,30.849710982659,685.940594059406
"CB_HK",2014-07-01,8.19747899159664,93.9544827586207,271.302068965517,7.0480109739369,43.0506155950752,29.3529411764706,628.737588652482
"CB_HK",2014-08-01,7.60787172011662,87.5933609958506,256.951590594744,5.00966850828729,37.0611111111111,23.2986111111111,556.328233657858
"CB_HK",2014-09-01,12.3423680456491,107.549511854951,264.655509065551,7.12831241283124,51.8347578347578,34.5726495726496,647.422535211268
"CB_HK",2014-10-01,65.7744565217391,65.8125,82.2146739130435,5.67391304347826,63.5247252747253,39.9505494505495,577.73097826087
"CB_HK",2014-11-01,34.2011251758087,78.5344585091421,121.257383966245,5.9549929676512,56.6576319543509,37.2082738944365,699.248226950355
"CB_HK",2014-12-01,22.0013947001395,114.195561719834,241.550624133148,10.0429958391123,69.6975476839237,46.0980926430518,817.977528089888
"CL_HK",2014-01-01,27.8252032520325,144.715447154472,317.957994579946,12.9349593495935,77.5837837837838,47.1302752293578,899.972862957938
"CL_HK",2014-02-01,20.7222222222222,102.284857571214,271.917541229385,8.40629685157421,46.9287878787879,30.153605015674,833.122171945701
"CL_HK",2014-03-01,24.1571815718157,105.30487804878,280.506775067751,10.7059620596206,64.7652645861601,39.6580732700136,987.098092643052
"CL_HK",2014-04-01,31.2326241134752,111.090014064698,235.441631504923,8.48804500703235,51.2563025210084,31.5728291316527,1011.42053445851
"CL_HK",2014-05-01,18.4432284541724,80.8215258855586,220.577656675749,6.65803814713896,28.2212765957447,16.5078014184397,723.773841961853
"CL_HK",2014-06-01,15.3864598025388,84.9397759103641,222.763305322129,7.7972027972028,33.0581761006289,19.435534591195,757.626404494382
"CL_HK",2014-07-01,13.5034482758621,83.239010989011,235.791208791209,8.43956043956044,26.7733537519142,15.8836140888208,584.84181568088
"CL_HK",2014-08-01,14.9525101763908,80.6238159675237,235.120433017591,6.46955345060893,20.6040061633282,12.3775038520801,594.065040650407
"CL_HK",2014-09-01,21.7150916784203,101.591036414566,232.417366946779,8.49719887955182,36.1215384615385,23.4984615384615,712.605042016807
"CL_HK",2014-10-01,61.6887966804979,97.5153203342618,172.548746518106,7.50620689655172,54.3880597014925,35.2428765264586,769.172413793103
"CL_HK",2014-11-01,20.3219373219373,126.850852272727,280.926136363636,8.28407460545194,48.3539325842697,32.2673267326733,999.360795454545
"CL_HK",2014-12-01,20.9247606019152,129.021857923497,303.224043715847,14.0287671232877,58.3885869565217,37.6073369565217,958.811475409836
"CW_HK",2014-01-01,56.2550607287449,73.9730094466937,97.2834008097166,14.0580296896086,77.1893732970027,53.3247282608696,NA
"CW_HK",2014-02-01,33.389552238806,55.5328358208955,91.7253731343284,7.03731343283582,44.3413533834586,30.5203007518797,NA
"CW_HK",2014-03-01,35.6648426812585,61.7718579234973,121.214480874317,9.6775956284153,58.0961002785515,37.9944289693593,NA
"CW_HK",2014-04-01,51.8438818565401,59.1239436619718,86.8760563380282,7.19831223628692,46.5161744022503,29.4317862165963,NA
"CW_HK",2014-05-01,34.323731138546,34.60219478738,53.5651577503429,5.26648351648352,21.9146853146853,12.5468531468531,NA
"CW_HK",2014-06-01,41.9284712482468,34.3133704735376,51.2590529247911,8.17827298050139,27.0213675213675,15.5811965811966,NA
"CW_HK",2014-07-01,31.9862068965517,32.3722527472527,52.4505494505495,9.04820936639118,24.2025316455696,14.4683544303797,NA
"CW_HK",2014-08-01,28.3292682926829,28.9581646423752,48.7354925775978,6.87567567567568,19.577840112202,11.1753155680224,NA
"CW_HK",2014-09-01,44.5862068965517,39.2174535050071,51.9084406294707,10.0357142857143,33.0234505862647,21.107202680067,NA
"CW_HK",2014-10-01,90.1578947368421,38.1902834008097,42.4210526315789,8.46018893387314,62.3365122615804,38.267029972752,NA
"CW_HK",2014-11-01,37.4774011299435,42.7247191011236,51.7654494382022,8.01544943820225,53.0307692307692,34.2195804195804,NA
"CW_HK",2014-12-01,30.0311653116531,50.1732070365359,65.6238159675237,11.9188092016238,61.9667590027701,40.0027700831025,NA
"EN_HK",2014-01-01,51.2294197031039,68.8272604588394,NA,11.3481781376518,65.8895027624309,43.2401091405184,NA
"EN_HK",2014-02-01,30.5799701046338,54.3976083707025,NA,4.57399103139013,34.9079754601227,23.9375951293759,NA
"EN_HK",2014-03-01,32.4163150492264,61.6104078762307,NA,5.80872011251758,45.4863387978142,30.2304526748971,NA
"EN_HK",2014-04-01,48.1104895104895,60.5608391608392,NA,5.78321678321678,39.7585227272727,25.7524752475248,NA
"EN_HK",2014-05-01,36.2884615384615,42.2637362637363,NA,3.79258241758242,19.1762237762238,NA,NA
"EN_HK",2014-06-01,41.8431085043988,40.7639296187683,NA,5.39442815249267,22.5974754558205,15.4723618090452,NA
